renderedObject,renderTime,gpuName,gpuBackend,peakMemory,releaseYear,baseClock,boostClock,textureRate,pixelRate,architecture,memoryType,generation,busInterface,rtCores,tensorCores
bmw27,46.0541,GeForce RTX 2070 SUPER,CUDA,146,2019,1605.0,1770.0,283.2,113.3,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,40,320
bmw27,23.5341,GeForce RTX 2070 SUPER,OPTIX,141.87,2019,1605.0,1770.0,283.2,113.3,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,40,320
classroom,98.1572,GeForce RTX 2070 SUPER,OPTIX,357.11,2019,1605.0,1770.0,283.2,113.3,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,40,320
bmw27,146.911,GeForce GTX 1650,CUDA,146,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
bmw27,21.4735,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,83.0662,GeForce GTX 1660 SUPER,OPTIX,166.82,2019,1530.0,1785.0,157.1,85.68,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,365.977,GeForce GTX 1050,OPTIX,131.13,2016,1354.0,1455.0,58.2,46.56,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,26.9369,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,22.3441,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
classroom,1632.51,GeForce MX150,CUDA,352.55,2017,1469.0,1532.0,36.77,24.51,Pascal,GDDR5,GeForce MX(1xx),PCIe 3.0 x4,0,0
bmw27,18.5931,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,51.6392,GeForce RTX 2070 SUPER,CUDA,146,2019,1605.0,1770.0,283.2,113.3,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,40,320
bmw27,18.3452,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,18.2399,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,140.006,GeForce GTX 1650,OPTIX,166.82,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
bmw27,28.5325,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,38.2875,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
pavillon_barcelona,451.971,GeForce GTX 1080,CUDA,156.3,2016,1607.0,1733.0,277.3,110.9,Pascal,GDDR5X,GeForce 10,PCIe 3.0 x16,0,0
bmw27,30.1182,GeForce RTX 3060 Ti,CUDA,146,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,30.576,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,28.0819,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,28.0829,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,18.187,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,29.0735,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,38.7319,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,16.0951,GeForce RTX 3070,OPTIX,141.48,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,158.935,GeForce GTX 1060 3GB,CUDA,146,2016,1506.0,1708.0,123.0,81.98,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,170.692,GeForce GTX 1060 3GB,OPTIX,166.82,2016,1506.0,1708.0,123.0,81.98,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,158.499,GeForce GTX 1060 3GB,CUDA,146,2016,1506.0,1708.0,123.0,81.98,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,20.4392,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,23.5157,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,20.0374,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,23.9673,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,105.245,GeForce GTX 1070,CUDA,146,2016,1506.0,1683.0,202.0,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,11.2099,NVIDIA GeForce RTX 3080,OPTIX,141.48,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,128.823,GeForce GTX 1070,CUDA,146,2016,1506.0,1683.0,202.0,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,18.2605,GeForce RTX 3080 Laptop GPU,OPTIX,141.48,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,90.674,GeForce GTX 1070 Ti,CUDA,146,2017,1607.0,1683.0,255.8,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,89.637,GeForce GTX 1070 Ti,OPTIX,166.82,2017,1607.0,1683.0,255.8,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,159.893,GeForce GTX 1060 3GB,CUDA,146,2016,1506.0,1708.0,123.0,81.98,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,182.816,GeForce GTX 970,CUDA,146,2014,1050.0,1178.0,122.5,65.97,Maxwell 2.0,GDDR5,GeForce 900,PCIe 3.0 x16,0,0
classroom,85.6361,GeForce RTX 3070,CUDA,352.55,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
bmw27,107.28,GeForce GTX 1070,CUDA,146,2016,1506.0,1683.0,202.0,107.7,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
classroom,66.3363,GeForce RTX 3080,CUDA,352.55,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,52.3829,GeForce RTX 2080 SUPER,CUDA,146,2019,1650.0,1815.0,348.5,116.2,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,48,384
victor,77.3274,GeForce RTX 3080,OPTIX,5600.66,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
koro,73.5113,GeForce RTX 3080,OPTIX,327.87,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
pavillon_barcelona,53.7799,GeForce RTX 3080,OPTIX,161.07,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
fishy_cat,33.4807,GeForce RTX 3070,OPTIX,596.51,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
classroom,186.654,GeForce GTX 1080 Ti,CUDA,352.55,2017,1481.0,1582.0,354.4,139.2,Pascal,GDDR5X,GeForce 10,PCIe 3.0 x16,0,0
pavillon_barcelona,344.725,GeForce GTX 1080 Ti,CUDA,156.3,2017,1481.0,1582.0,354.4,139.2,Pascal,GDDR5X,GeForce 10,PCIe 3.0 x16,0,0
bmw27,28.4503,GeForce RTX 3070,CUDA,146,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
classroom,82.2385,GeForce RTX 3070,CUDA,352.55,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
classroom,54.2287,GeForce RTX 3070,OPTIX,356.66,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
fishy_cat,93.2938,GeForce RTX 2070 SUPER,CUDA,684.01,2019,1605.0,1770.0,283.2,113.3,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,40,320
bmw27,185.509,GeForce GTX 1650,CUDA,146,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
bmw27,30.076,GeForce RTX 3060 Ti,CUDA,146,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,29.8892,GeForce RTX 3060 Ti,CUDA,146,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,35.2146,GeForce RTX 3060 Ti,CUDA,146,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,18.7699,GeForce RTX 3090,CUDA,146,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,22.0506,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,35.5592,GeForce RTX 3060 Ti,CUDA,146,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,35.0336,GeForce RTX 3060 Ti,CUDA,146,2020,1410.0,1665.0,253.1,133.2,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,38,152
bmw27,15.9769,GeForce RTX 3070,OPTIX,141.48,2020,1500.0,1725.0,317.4,165.6,Ampere,GDDR6,GeForce 30,PCIe 4.0 x16,46,184
